,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Aldıkları Hizmet Sayısı,Aldıkları Hizmet Başına Aylık Ortalama Ücreti,Sözleşmeli Mi?,Otomatik Ödeme mi?,Streaming,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Tenure_Group_Kısa Süreli Müşteri,Tenure_Group_Orta Süreli Müşteri,Tenure_Group_Uzun Süreli Müşteri
17,9959-WOFKT,1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,6,17.783333333333335,1,1,1,True,False,False,True,False,False,False,False,False,True
18,4190-MFLUW,0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,4,13.8,0,1,0,False,False,False,False,True,False,False,False,False,False
19,4183-MYFRB,0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,5,18.009999999999998,0,0,1,True,False,False,False,False,True,False,True,False,False
20,8779-QRDMV,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,3,13.216666666666667,0,0,1,False,False,False,False,False,True,False,False,False,False
21,1680-VDCWW,1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,1,19.8,1,1,0,False,True,True,False,False,False,False,False,False,False
22,1066-JKSGK,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,1,20.15,0,0,0,False,True,False,False,False,False,True,False,False,False
23,3638-WEABW,0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,4,14.975,1,1,0,False,False,False,True,True,False,False,False,True,False
24,6322-HRPFA,1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,5,11.92,0,1,0,False,False,False,False,True,False,False,False,True,False
25,6865-JZNKO,0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,4,13.825,0,1,0,False,False,False,False,False,False,False,True,False,False
26,6467-CHFZW,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,5,19.869999999999997,0,0,1,True,False,False,False,False,True,False,False,True,False
27,8665-UTDHZ,1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,2,15.1,0,0,0,False,False,False,False,False,True,False,False,False,False
28,5248-YGIJN,1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,8,11.28125,1,1,1,False,False,False,True,True,False,False,False,False,True
29,8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,4,16.175,0,0,1,False,False,False,False,False,False,True,True,False,False
30,3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,6,16.058333333333334,1,1,0,True,False,False,True,True,False,False,False,False,True
31,4929-XIHVW,1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,5,19.1,0,1,1,True,False,False,False,True,False,False,False,False,False
32,6827-IEAUQ,0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,6,11.025,1,0,0,False,False,True,False,False,False,True,True,False,False
33,7310-EGVHZ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,1,20.2,0,1,0,False,True,False,False,False,False,False,False,False,False
34,3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,2,22.625,0,1,0,False,False,False,False,False,False,False,False,False,False
35,6234-RAAPL,0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,6,16.650000000000002,1,1,1,True,False,False,True,False,False,False,False,False,True
36,6047-YHPVI,1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,2,34.85,0,0,0,True,False,False,False,False,True,False,False,False,False
37,6572-ADKRS,0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,3,24.933333333333334,0,1,0,True,False,False,False,True,False,False,False,True,False
38,5380-WJKOV,1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,6,17.724999999999998,0,0,1,True,False,False,False,False,True,False,True,False,False
39,8168-UQWWF,0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,5,19.57,0,1,1,True,False,False,False,False,False,False,False,False,False
40,8865-TNMNX,1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,3,16.516666666666666,1,0,0,False,False,True,False,False,False,True,False,False,False
41,9489-DEDVP,0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,5,13.84,1,1,1,False,False,False,True,True,False,False,False,False,True
42,9867-JCZSP,0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,1,20.75,1,0,0,False,True,True,False,False,False,True,True,False,False
43,4671-VJLCL,0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,7,11.407142857142857,1,1,1,False,False,False,True,True,False,False,False,False,True
44,4080-IIARD,0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,6,12.700000000000001,0,0,1,False,False,False,False,False,True,False,True,False,False
45,3714-NTNFO,0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,3,28.166666666666668,0,0,1,True,False,False,False,False,True,False,False,True,False
46,5948-UJZLF,1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,3,16.416666666666668,0,0,0,False,False,False,False,False,False,True,False,False,False
47,7760-OYPDY,0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,3,26.883333333333336,0,0,1,True,False,False,False,False,True,False,False,False,False
48,7639-LIAYI,1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,6,13.291666666666666,1,1,1,False,False,False,True,True,False,False,False,True,False
49,2954-PIBKO,0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,5,12.830000000000002,1,1,0,False,False,False,True,True,False,False,False,False,True
50,8012-SOUDQ,0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,4,22.5625,0,0,1,True,False,False,False,False,True,False,False,True,False
51,9420-LOJKX,0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,6,16.516666666666666,0,1,1,True,False,False,False,True,False,False,True,False,False
52,6575-SUVOI,0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,5,13.9,0,1,1,False,False,False,False,True,False,False,True,False,False
53,7495-OOKFY,0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,3,26.883333333333336,0,1,0,True,False,False,False,True,False,False,False,False,False
54,4667-QONEA,0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,7,10.692857142857141,1,1,1,False,False,True,False,True,False,False,False,True,False
55,1658-BYGOY,1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,4,23.8625,0,0,1,True,False,False,False,False,True,False,True,False,False
56,8769-KKTPH,0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,5,19.93,1,1,1,True,False,True,False,True,False,False,False,False,True
57,5067-XJQFU,1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,7,15.492857142857144,1,0,1,True,False,True,False,False,True,False,False,False,True
58,3957-SQXML,0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,1,24.95,1,1,0,False,True,False,True,True,False,False,True,False,False
59,5954-BDFSG,0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,6,17.916666666666668,1,1,1,True,False,False,True,True,False,False,False,False,True
60,0434-CSFON,0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,5,20.1,0,0,1,True,False,False,False,False,True,False,False,True,False
61,1215-FIGMP,1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,4,22.475,0,1,1,True,False,False,False,False,False,False,False,True,False
62,0526-SXDJP,1,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,4,10.525,1,1,0,False,False,False,True,False,False,False,False,False,True
63,0557-ASKVU,0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,4,13.6,1,1,0,False,False,True,False,True,False,False,True,False,False
64,5698-BQJOH,0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,4,23.6,0,0,1,True,False,False,False,False,True,False,False,False,False
65,5122-CYFXA,0,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,6,12.549999999999999,0,0,1,False,False,False,False,False,True,False,False,False,False
66,8627-ZYGSZ,1,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,3,26.3,1,0,0,True,False,True,False,False,True,False,False,True,False
67,3410-YOQBQ,0,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,7,11.314285714285715,1,0,1,False,False,False,True,False,False,True,True,False,False
68,3170-NMYVV,0,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,1,20.15,1,1,0,False,True,False,True,False,False,False,False,True,False
69,7410-OIEDU,1,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,4,19.9625,0,0,0,True,False,False,False,False,False,True,False,False,False
70,2273-QCKXA,1,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,3,16.349999999999998,0,0,0,False,False,False,False,False,False,True,False,False,False
71,0731-EBJQB,0,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,1,20.4,1,0,0,False,True,True,False,False,True,False,False,True,False
72,1891-QRQSA,1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,7,15.942857142857141,1,1,1,True,False,False,True,False,False,False,False,False,True
73,8028-PNXHQ,1,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,1,24.25,1,1,0,False,True,False,True,False,False,False,False,False,True
74,5630-AHZIL,0,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,5,12.9,0,1,1,False,False,False,False,False,False,False,False,False,False
75,2673-CXQEU,0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,7,15.785714285714286,1,0,1,True,False,True,False,False,True,False,False,True,False
76,6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,3,18.55,1,1,1,False,False,True,False,True,False,False,False,True,False
77,5590-ZSKRV,0,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,4,13.6625,0,0,0,False,False,False,False,False,False,True,False,False,False
78,0191-ZHSKZ,1,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,6,12.458333333333334,0,0,1,False,False,False,False,False,True,False,True,False,False
79,3887-PBQAO,0,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,1,25.9,1,1,0,False,True,True,False,True,False,False,False,True,False
80,5919-TMRGD,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,3,26.45,0,0,1,True,False,False,False,False,True,False,False,False,False
81,8108-UXRQN,0,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,4,12.6375,0,0,1,False,False,False,False,False,True,False,False,False,False
82,9191-MYQKX,0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,3,25.05,0,1,0,True,False,False,False,False,False,False,False,False,False
83,9919-YLNNG,0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,7,14.828571428571427,0,1,1,True,False,False,False,False,False,False,False,True,False
84,0318-ZOPWS,0,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,1,20.15,1,1,0,False,True,False,True,False,False,False,False,True,False
85,4445-ZJNMU,1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,5,19.86,0,1,1,True,False,False,False,True,False,False,False,False,False
86,4808-YNLEU,0,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,4,15.5375,1,1,1,False,False,True,False,False,False,False,True,False,False
87,1862-QRWPE,0,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,1,20.65,1,1,0,False,True,False,True,False,False,False,False,True,False
88,2796-NNUFI,0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,1,19.95,1,0,0,False,True,False,True,False,False,True,False,True,False
89,3016-KSVCP,1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,2,16.875,0,0,1,False,False,False,False,False,False,True,True,False,False
90,4767-HZZHQ,1,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,4,20.5125,0,1,0,True,False,False,False,False,False,False,True,False,False
91,2424-WVHPL,1,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,3,24.900000000000002,0,0,0,True,False,False,False,False,True,False,False,False,False
92,7233-PAHHL,1,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,7,12.0,1,0,1,False,False,False,True,False,False,True,False,False,True
93,6067-NGCEU,0,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,7,15.864285714285714,0,1,1,True,False,False,False,True,False,False,False,False,True
94,9848-JQJTX,1,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,6,16.816666666666666,1,1,1,True,False,False,True,False,False,False,False,False,True
95,8637-XJIVR,0,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,3,26.316666666666666,0,0,0,True,False,False,False,False,True,False,False,False,False
96,9803-FTJCG,1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,5,13.37,1,1,0,False,False,True,False,True,False,False,False,False,True
97,0278-YXOOG,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,1,21.05,0,0,0,False,True,False,False,False,False,True,False,False,False
98,3212-KXOCR,1,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,1,21.0,1,1,0,False,True,False,True,False,False,False,False,True,False
99,4598-XLKNJ,0,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,6,16.416666666666668,0,0,1,True,False,False,False,False,True,False,True,False,False
100,6380-ARCEH,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,1,20.2,0,0,0,False,True,False,False,False,False,True,False,False,False
101,3679-XASPY,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,1,19.45,0,0,0,False,True,False,False,False,True,False,False,False,False
102,7123-WQUHX,1,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,5,19.0,1,1,1,True,False,True,False,False,False,False,False,True,False
103,5386-THSLQ,0,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,4,11.3875,1,1,1,False,False,True,False,False,False,False,False,False,True
104,3192-NQECA,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,7,15.714285714285714,1,1,1,True,False,False,True,False,False,False,False,False,True
105,6180-YBIQI,1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,1,24.3,0,0,0,False,False,False,False,False,False,True,False,False,False
106,6728-DKUCO,0,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,6,17.358333333333334,1,0,1,True,False,True,False,False,True,False,False,False,True
107,9750-BOOHV,0,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,2,15.075,1,0,0,False,False,True,False,False,False,True,True,False,False
108,8597-CWYHH,1,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,4,23.5875,1,0,1,True,False,True,False,False,False,True,False,True,False
109,2848-YXSMW,1,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,1,19.4,1,1,0,False,True,False,True,True,False,False,False,False,True
110,0486-HECZI,1,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,5,19.35,0,0,1,True,False,False,False,False,True,False,False,True,False
111,4549-ZDQYY,0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,5,11.59,1,1,0,False,False,True,False,True,False,False,False,True,False
112,5712-AHQNN,0,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,5,18.330000000000002,0,0,1,True,False,False,False,False,True,False,False,True,False
113,4846-WHAFZ,0,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,2,38.25,0,0,0,True,False,False,False,False,True,False,False,True,False
114,5256-SKJGO,0,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,5,10.92,1,0,1,False,False,False,True,False,True,False,False,False,True
115,3071-VBYPO,1,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,5,17.97,0,0,1,True,False,False,False,False,True,False,False,False,False
116,9560-BBZXK,0,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,2,15.525,1,1,0,False,False,False,True,False,False,False,True,False,False
117,5299-RULOA,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,5,20.05,0,0,1,True,False,False,False,False,True,False,False,False,False
118,8402-OOOHJ,0,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,1,20.65,1,0,0,False,True,False,True,False,False,True,False,True,False
119,9445-ZUEQE,1,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,4,21.3,0,1,0,True,False,False,False,True,False,False,True,False,False
120,1091-SOZGA,0,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,5,19.96,1,1,1,True,False,True,False,True,False,False,False,True,False
121,2928-HLDBA,0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,1,20.7,0,0,0,False,True,False,False,False,False,True,False,False,False
122,0404-SWRVG,1,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,2,37.2,0,0,0,True,False,False,False,False,True,False,False,False,False
123,6497-TILVL,0,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,3,16.900000000000002,0,0,0,False,False,False,False,False,False,True,False,False,False
124,7219-TLZHO,0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,1,20.85,0,0,0,False,True,False,False,False,False,True,False,False,False
125,4622-YNKIJ,1,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,5,17.79,1,0,1,True,False,False,True,False,True,False,True,False,False
126,4412-YLTKF,0,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,3,26.016666666666666,0,0,0,True,False,False,False,False,True,False,True,False,False
127,6734-PSBAW,1,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,1,23.55,1,1,0,False,True,False,True,False,False,False,False,False,True
128,3930-ZGWVE,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,1,19.75,0,0,0,False,True,False,False,False,False,True,False,False,False
129,2639-UGMAZ,1,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,5,11.290000000000001,1,0,1,False,False,True,False,False,True,False,False,False,True
130,2876-GZYZC,0,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,3,28.650000000000002,0,0,1,True,False,False,False,False,True,False,True,False,False
131,6207-WIOLX,0,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,6,9.766666666666667,0,1,1,False,False,False,False,True,False,False,True,False,False
132,8587-XYZSF,1,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,3,16.849999999999998,1,1,0,False,False,False,True,False,False,False,False,False,True
133,3091-FYHKI,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,2,17.725,0,0,1,False,False,False,False,False,True,False,False,False,False
134,2372-HWUHI,1,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,2,22.175,0,0,0,False,False,False,False,False,True,False,False,False,False
135,7799-LGRDP,0,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,1,25.7,1,1,0,False,True,False,True,True,False,False,False,True,False
136,7850-VWJUU,0,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,3,25.0,0,1,0,True,False,False,False,False,False,False,True,False,False
137,3774-VBNXY,0,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,1,20.2,1,0,0,False,True,False,True,False,False,True,False,False,True
138,6217-KDYWC,1,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,1,19.6,1,0,0,False,True,False,True,False,False,True,False,True,False
139,0390-DCFDQ,0,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,2,35.225,0,0,0,True,False,False,False,False,False,True,False,False,False
140,3146-MSEGF,0,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,8,11.00625,1,1,1,False,False,False,True,True,False,False,False,False,True
141,4080-OGPJL,0,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,5,14.23,0,0,1,False,False,False,False,False,True,False,False,False,False
142,1095-WGNGG,0,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,5,20.21,1,1,1,True,False,False,True,False,False,False,False,False,True
143,2636-SJDOU,1,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,4,21.075,1,1,0,True,False,True,False,True,False,False,False,False,True
144,1131-QQZEB,1,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,1,23.95,1,1,0,False,True,False,True,False,False,False,False,False,True
145,5716-EZXZN,0,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,6,16.508333333333333,1,1,1,True,False,False,True,True,False,False,False,False,True
146,6837-BJYDQ,1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,1,19.6,1,0,0,False,True,True,False,False,False,True,False,False,False
147,2135-RXIHG,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,2,22.825,0,0,0,False,False,False,False,False,True,False,False,False,False
148,6440-DKQGE,1,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,5,12.9,1,1,1,False,False,True,False,True,False,False,True,False,False
149,3466-BYAVD,1,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,6,11.583333333333334,0,0,1,False,False,False,False,False,False,True,True,False,False
150,3780-YVMFA,0,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,5,13.709999999999999,0,0,1,False,False,False,False,False,True,False,False,False,False
151,3874-EQOEP,1,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,4,23.75,0,0,1,True,False,False,False,False,False,True,False,False,False
152,1679-JRFBR,0,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,7,15.450000000000001,1,1,1,True,False,True,False,True,False,False,False,False,True
153,9073-ZZIAY,1,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,8,10.7625,1,0,1,False,False,False,True,False,True,False,False,False,True
154,3077-RSNTJ,0,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,1,19.7,0,0,0,False,True,False,False,False,False,True,False,False,False
155,6551-GNYDG,0,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,3,26.96666666666667,0,1,1,True,False,False,False,False,False,False,True,False,False
156,9167-APMXZ,0,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,0,3,28.05,0,1,1,True,False,False,False,False,False,False,True,False,False
157,2749-CTKAJ,1,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,0,1,20.15,1,0,0,False,True,True,False,False,False,True,True,False,False
158,6371-NZYEG,1,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,0,5,12.85,1,0,1,False,False,False,True,False,False,True,True,False,False
159,7554-NEWDD,1,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,1,25.7,1,1,0,False,True,False,True,False,False,False,False,False,False
